correctsVec,actsVec,actsVec2,desiredsVec,actsOfTrueClass,actsOfFalseClass,actsDifference,guessesVec,signedActs,xval_iter,signedEv,unsignedEv,runsVec,subs
0,0.66217,0.33783,2,0.33783,0.66217,-0.32434,1,-0.16217,1,0.67298,-0.67298,1,1
0,0.4603,0.5397,1,0.4603,0.5397,-0.079405,2,-0.039702,1,-0.15914,-0.15914,1,1
0,0.49163,0.50837,1,0.49163,0.50837,-0.016733,2,-0.0083663,1,-0.033468,-0.033468,1,1
1,0.60471,0.39529,1,0.60471,0.39529,0.20941,1,0.10471,1,0.42511,0.42511,1,1
1,0.60342,0.39658,1,0.60342,0.39658,0.20684,1,0.10342,1,0.41973,0.41973,1,1
1,0.63204,0.36796,1,0.63204,0.36796,0.26408,1,0.13204,1,0.54098,0.54098,1,1
1,0.64729,0.35271,1,0.64729,0.35271,0.29458,1,0.14729,1,0.60715,0.60715,1,1
1,0.5369,0.4631,1,0.5369,0.4631,0.073804,1,0.036902,1,0.14788,0.14788,1,1
1,0.59417,0.40583,1,0.59417,0.40583,0.18833,1,0.094167,1,0.38122,0.38122,1,1
1,0.6434,0.3566,1,0.6434,0.3566,0.28679,1,0.1434,1,0.59014,0.59014,1,1
1,0.70238,0.29762,1,0.70238,0.29762,0.40475,1,0.20238,1,0.85864,0.85864,1,1
1,0.63856,0.36144,1,0.63856,0.36144,0.27712,1,0.13856,1,0.56911,0.56911,1,1
1,0.69787,0.30213,1,0.69787,0.30213,0.39573,1,0.19787,1,0.83716,0.83716,1,1
1,0.69515,0.30485,1,0.69515,0.30485,0.39029,1,0.19515,1,0.82429,0.82429,1,1
1,0.7295,0.2705,1,0.7295,0.2705,0.45901,1,0.2295,1,0.9921,0.9921,1,1
1,0.48083,0.51917,2,0.51917,0.48083,0.03834,2,0.01917,1,-0.076717,0.076717,1,1
0,0.52853,0.47147,2,0.47147,0.52853,-0.057067,1,-0.028534,1,0.11426,-0.11426,1,1
0,0.5697,0.4303,2,0.4303,0.5697,-0.1394,1,-0.0697,1,0.28063,-0.28063,1,1
0,0.63529,0.36471,2,0.36471,0.63529,-0.27058,1,-0.13529,1,0.55498,-0.55498,1,1
0,0.69257,0.30743,2,0.30743,0.69257,-0.38514,1,-0.19257,1,0.81217,-0.81217,1,1
0,0.61373,0.38627,2,0.38627,0.61373,-0.22747,1,-0.11373,1,0.46303,-0.46303,1,1
0,0.53967,0.46033,2,0.46033,0.53967,-0.079346,1,-0.039673,1,0.15903,-0.15903,1,1
0,0.66788,0.33212,2,0.33212,0.66788,-0.33575,1,-0.16788,1,0.69859,-0.69859,1,1
0,0.65572,0.34428,2,0.34428,0.65572,-0.31145,1,-0.15572,1,0.6443,-0.6443,1,1
0,0.65591,0.34409,2,0.34409,0.65591,-0.31182,1,-0.15591,1,0.64512,-0.64512,1,1
0,0.43981,0.56019,1,0.43981,0.56019,-0.12038,2,-0.060192,1,-0.24194,-0.24194,1,1
0,0.48688,0.51312,1,0.48688,0.51312,-0.02625,2,-0.013125,1,-0.052511,-0.052511,1,1
1,0.66365,0.33635,1,0.66365,0.33635,0.32731,1,0.16365,1,0.67962,0.67962,1,1
1,0.70392,0.29608,1,0.70392,0.29608,0.40784,1,0.20392,1,0.86604,0.86604,1,1
1,0.53729,0.46271,1,0.53729,0.46271,0.074576,1,0.037288,1,0.14943,0.14943,1,1
1,0.69321,0.30679,1,0.69321,0.30679,0.38641,1,0.19321,1,0.81515,0.81515,1,1
1,0.65945,0.34055,1,0.65945,0.34055,0.3189,1,0.15945,1,0.66085,0.66085,1,1
1,0.72423,0.27577,1,0.72423,0.27577,0.44846,1,0.22423,1,0.96554,0.96554,1,1
0,0.51042,0.48958,2,0.48958,0.51042,-0.020844,1,-0.010422,1,0.041693,-0.041693,1,1
0,0.52912,0.47088,2,0.47088,0.52912,-0.058247,1,-0.029123,1,0.11663,-0.11663,1,1
0,0.67362,0.32638,2,0.32638,0.67362,-0.34725,1,-0.17362,1,0.72462,-0.72462,1,1
0,0.71465,0.28535,2,0.28535,0.71465,-0.42931,1,-0.21465,1,0.9181,-0.9181,1,1
0,0.74771,0.25229,2,0.25229,0.74771,-0.49542,1,-0.24771,1,1.0864,-1.0864,1,1
