train_test,mask,conds,tr,xval_it,name,sub,auc
"CM,4fold",SEPT...,hit v cr,3,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__1__0__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s16,0.54155
"CM,4fold",SEPT...,hit v cr,3,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__1__0__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s17,0.61139
"CM,4fold",SEPT...,hit v cr,3,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__1__0__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s18,0.72015
"CM,4fold",SEPT...,hit v cr,3,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__1__0__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s19,0.7473
"CM,4fold",SEPT...,hit v cr,3,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__1__0__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s20,0.63008
"CM,4fold",SEPT...,hit v cr,3,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__1__0__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s21,0.75318
"CM,4fold",SEPT...,hit v cr,3,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__1__0__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s22,0.6367
"CM,4fold",SEPT...,hit v cr,3,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__1__0__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s23,0.64752
"CM,4fold",SEPT...,hit v cr,3,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__1__0__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s24,0.66358
"CM,4fold",SEPT...,hit v cr,3,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__1__0__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s25,0.611
"CM,4fold",SEPT...,hit v cr,3,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__0__1__0__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s26,0.79963
"CM,4fold",SEPT...,hit v cr,2,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__1__0__0__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s01,0.50905
"CM,4fold",SEPT...,hit v cr,2,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__1__0__0__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s03,0.61244
"CM,4fold",SEPT...,hit v cr,2,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__1__0__0__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s04,0.56297
"CM,4fold",SEPT...,hit v cr,2,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__1__0__0__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s05,0.51291
"CM,4fold",SEPT...,hit v cr,2,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__1__0__0__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s06,0.55869
"CM,4fold",SEPT...,hit v cr,2,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__1__0__0__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s07,0.42128
"CM,4fold",SEPT...,hit v cr,2,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__1__0__0__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s08,0.60786
"CM,4fold",SEPT...,hit v cr,2,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__1__0__0__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s09,0.61933
"CM,4fold",SEPT...,hit v cr,2,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__1__0__0__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s10,0.57688
"CM,4fold",SEPT...,hit v cr,2,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__1__0__0__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s12,0.60096
"CM,4fold",SEPT...,hit v cr,2,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__1__0__0__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s13,0.45428
"CM,4fold",SEPT...,hit v cr,2,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__1__0__0__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s14,0.58657
"CM,4fold",SEPT...,hit v cr,2,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__1__0__0__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s15,0.52564
"CM,4fold",SEPT...,hit v cr,2,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__1__0__0__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s16,0.36358
"CM,4fold",SEPT...,hit v cr,2,[],conds_hitVcr_trTe0_0_0_0_1_2_3_4_trW0__1__0__0__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,s17,0.5144
