Contrast,shape,cluster,sphere,roi,task,acc,beta
EX>CM Hit>CR,cluster,TRUE,FALSE,Right Hipp,ex,hit,0.104646375
EX>CM Hit>CR,cluster,TRUE,FALSE,Right Hipp,ex,hit,0.629221327
EX>CM Hit>CR,cluster,TRUE,FALSE,Right Hipp,ex,hit,0.224243416
EX>CM Hit>CR,cluster,TRUE,FALSE,Right Hipp,ex,hit,0.156102422
EX>CM Hit>CR,cluster,TRUE,FALSE,Right Hipp,ex,hit,-0.385743331
EX>CM Hit>CR,cluster,TRUE,FALSE,Right Hipp,ex,hit,1.039643189
EX>CM Hit>CR,cluster,TRUE,FALSE,Right Hipp,ex,hit,0.4242421
EX>CM Hit>CR,cluster,TRUE,FALSE,Right Hipp,ex,hit,0.446950222
EX>CM Hit>CR,cluster,TRUE,FALSE,Right Hipp,ex,hit,0.611600198
EX>CM Hit>CR,cluster,TRUE,FALSE,Right Hipp,ex,hit,0.348456526
EX>CM Hit>CR,cluster,TRUE,FALSE,Right Hipp,ex,hit,1.028001952
EX>CM Hit>CR,cluster,TRUE,FALSE,Right Hipp,ex,hit,-0.065169772
EX>CM Hit>CR,cluster,TRUE,FALSE,Right Hipp,ex,hit,0.534768265
EX>CM Hit>CR,cluster,TRUE,FALSE,Right Hipp,ex,hit,0.535226293
EX>CM Hit>CR,cluster,TRUE,FALSE,Right Hipp,ex,hit,-0.099216751
EX>CM Hit>CR,cluster,TRUE,FALSE,Right Hipp,ex,hit,0.469632888
EX>CM Hit>CR,cluster,TRUE,FALSE,Right Hipp,ex,hit,1.870866431
